"","variable_nm","coef_nm","p_value_nm"
"(Intercept)","(Intercept)",0.0880861232026895,1.15689621349673e-20
"age","age",-0.000166076667652695,0.000860996238216291
"sex2","sex2",-0.0120472934649796,9.54944033744602e-16
"nr_medication","nr_medication",-6.10842820206488e-06,0.893153704625384
"COPD_morb1","COPD_morb1",-0.0126012347171625,3.78685809071e-05
"migraine_morb1","migraine_morb1",-0.00840635055811712,0.0489192096062268
"osteop_morb1","osteop_morb1",-0.00395128876072883,0.31342784633346
"poor_immune_response1","poor_immune_response1",-0.0162464990524649,1.68612282960656e-18
"alcmisb_morb1","alcmisb_morb1",0.0900627132002673,4.68319650859526e-12
"practice_size","practice_size",6.11589714608663e-05,1.22382400864025e-10
"Depressie_morb1","Depressie_morb1",-0.00160225500456319,0.643630530144865
"aangaf_morb1","aangaf_morb1",0.00442874215646009,0.732567541686855
"hartfalen_morb1","hartfalen_morb1",-0.0265333974336291,8.20306055868347e-05
"flu_epi","flu_epi",0.0758342852362259,7.0974165226626e-270
"season.L","season.L",-0.0368385672305854,2.29267978409583e-141
"season.Q","season.Q",-0.0127252636877297,1.32515289773365e-09
"season.C","season.C",-0.018933204493137,1.9824243476314e-30
"postalcode10","postalcode10",-0.0379109801875072,6.86788706266978e-05
"postalcode11","postalcode11",-0.0425084403218099,0.000177060081208054
"postalcode12","postalcode12",-0.0501203269513586,2.7336348140749e-07
"postalcode13","postalcode13",-0.0138373391467632,0.858009912506106
"postalcode14","postalcode14",-0.0378981625743783,0.000457940762882552
"postalcode15","postalcode15",-0.0810552145423736,4.218752148165e-14
"postalcode16","postalcode16",-0.0422388463612094,0.0176098416723877
"postalcode17","postalcode17",-0.0300383683877359,0.0100856155611537
"postalcode18","postalcode18",0.0097427769035276,0.469595088754253
"postalcode19","postalcode19",-0.055153340589823,7.25149436697127e-08
"postalcode20","postalcode20",0.000172302693319187,0.986058865632856
"postalcode21","postalcode21",-0.0650148921105175,5.27121264179143e-09
"postalcode22","postalcode22",-0.024986512123555,0.0205321165170972
"postalcode23","postalcode23",-0.0415099566773589,0.000414268612787906
"postalcode24","postalcode24",-0.00170981443193439,0.863442629421292
"postalcode25","postalcode25",0.00409325951660597,0.696955126172896
"postalcode26","postalcode26",-0.0163765283634475,0.136037426310514
"postalcode27","postalcode27",-0.0412518813870016,0.000466727937423092
"postalcode28","postalcode28",-0.00363337238087547,0.947395478042194
"postalcode29","postalcode29",0.00293952407224358,0.800325092255642
"postalcode30","postalcode30",-0.0288650016301641,0.00226634975278327
"postalcode31","postalcode31",-0.0192114215863934,0.0504478151657012
"postalcode32","postalcode32",-0.0671095007872495,3.12575800148661e-05
"postalcode33","postalcode33",-0.0115768174737965,0.328144308298024
"postalcode34","postalcode34",-0.0513677458619736,1.63129498214333e-07
"postalcode35","postalcode35",-0.0544544168737135,9.1371750911294e-07
"postalcode36","postalcode36",-0.0341557581362195,0.29534876687448
"postalcode37","postalcode37",-0.0614106430306851,0.174749954892973
"postalcode38","postalcode38",-0.00737039165715931,0.464776536738801
"postalcode39","postalcode39",-0.0106058231533526,0.315799923600456
"postalcode40","postalcode40",-0.0581874934380955,8.42869118944691e-06
"postalcode41","postalcode41",-0.0453183379579754,1.82229701951527e-05
"postalcode42","postalcode42",-0.0936404740178086,1.23951972549852e-16
"postalcode43","postalcode43",0.0227008867889576,0.0795147041406034
"postalcode46","postalcode46",0.126433937982389,0.10212435454957
"postalcode47","postalcode47",-0.0620648012280525,0.0043625448449922
"postalcode50","postalcode50",0.0354913008923784,0.0154644828635525
"postalcode51","postalcode51",-0.0482966004035268,0.532249253624787
"postalcode52","postalcode52",0.0109320052034347,0.36950957242767
"postalcode53","postalcode53",-0.0350785023044916,0.000788551757329612
"postalcode54","postalcode54",-0.0592876582584021,1.13855225228648e-08
"postalcode55","postalcode55",-0.0476991476851437,0.0461616410497876
"postalcode56","postalcode56",-0.0761141732061767,1.40810755678791e-11
"postalcode57","postalcode57",-0.0139718557666915,0.170944989620875
"postalcode58","postalcode58",-0.0228558827774424,0.0476056153054326
"postalcode59","postalcode59",0.00770716904201973,0.820488499710093
"postalcode60","postalcode60",-0.107005291077297,3.96516013954339e-24
"postalcode61","postalcode61",0.0329202009268007,0.0588984218823778
"postalcode62","postalcode62",-0.0257524272416114,0.16893910815876
"postalcode63","postalcode63",-0.0264729673390429,0.528848042505302
"postalcode64","postalcode64",0.0289384299531925,0.0094392502819617
"postalcode65","postalcode65",-0.046667282544554,1.0253994652526e-05
"postalcode66","postalcode66",-0.00966529423144206,0.329979694899038
"postalcode67","postalcode67",0.0042438050667455,0.815694951222276
"postalcode68","postalcode68",0.006290734457127,0.627937289230452
"postalcode69","postalcode69",-0.0677979199993891,1.62137633220076e-09
"postalcode70","postalcode70",-0.0199139674302157,0.0736192323818428
"postalcode71","postalcode71",-0.0903378168787955,1.63099997983555e-14
"postalcode72","postalcode72",0.0409039058570622,0.00288268353130544
"postalcode73","postalcode73",-0.0596017858049089,5.31839755409734e-09
"postalcode74","postalcode74",-0.0323372246321025,0.00228748622473682
"postalcode75","postalcode75",-0.00141735373372004,0.894144564008239
"postalcode76","postalcode76",-0.00506022358821344,0.686966028035877
"postalcode77","postalcode77",-0.0178533684996896,0.135685120450982
"postalcode78","postalcode78",-0.00480554859763241,0.684643234704777
"postalcode79","postalcode79",-0.0178761429811231,0.0634676167796997
"postalcode80","postalcode80",0.00648463551961115,0.65011674410051
"postalcode81","postalcode81",-0.0406067635807424,0.000495837028479903
"postalcode82","postalcode82",-0.02412664122886,0.037299960434412
"postalcode83","postalcode83",-0.0207550667493003,0.094166902573477
"postalcode84","postalcode84",-0.0358216598550612,0.00113499744551701
"postalcode85","postalcode85",0.00444744888134853,0.692074183181401
"postalcode87","postalcode87",0.0865795950514517,0.262938920657155
"postalcode88","postalcode88",0.017942173463291,0.125172346402364
"postalcode89","postalcode89",-0.0355768662456524,0.000946714543531932
"postalcode90","postalcode90",-0.0286808532257694,0.138937286900043
"postalcode91","postalcode91",0.00122352762658583,0.918601856174995
"postalcode92","postalcode92",-0.0357063703017513,0.000460749262073239
"postalcode93","postalcode93",0.00268890536936809,0.896621850423034
"postalcode94","postalcode94",-0.013718637776793,0.352357654885156
"postalcode95","postalcode95",-0.094044024240556,3.11561728864334e-07
"postalcode96","postalcode96",-0.0202973004478711,0.0453297058562398
"postalcode97","postalcode97",-0.00623657126376031,0.535444868307311
"postalcode98","postalcode98",-0.0298352929475962,0.0210708171670704
"postalcode99","postalcode99",-0.0413008499828234,0.000639089400020732
"day","day",-0.000248680002859803,1.09690081942326e-195
